num,name,yil,new_yil,final_yil
0,Russell Westbrook,7,7,7
1,James Harden,6,6,6
2,Kevin Durant,8,8,8
3,LeBron James,-1,12,12
4,Anthony Davis,3,3,3
5,Carmelo Anthony,12,12,12
6,DeMarcus Cousins,5,5,5
7,Stephen Curry,-1,6,6
8,LaMarcus Aldridge,9,9,9
9,Kobe Bryant,19,19,19
10,Blake Griffin,6,6,6
11,Kyrie Irving,4,4,4
12,Klay Thompson,4,4,4
13,Dwyane Wade,12,12,12
14,Chris Bosh,12,12,12
15,Rudy Gay,9,9,9
16,Damian Lillard,3,3,3
17,DeMar DeRozan,6,6,6
18,Jimmy Butler,4,4,4
19,Kevin Martin,11,-1,11
20,Nikola Vucevic,4,4,4
21,Gordon Hayward,5,5,5
22,Chris Paul,10,10,10
23,Monta Ellis,10,10,10
24,Pau Gasol,14,14,14
25,Victor Oladipo,2,2,2
26,Kyle Lowry,9,9,9
27,Derrick Rose,7,7,7
28,John Wall,5,-1,5
29,Marc Gasol,14,8,14
30,Kemba Walker,4,4,4
31,Dirk Nowitzki,17,17,17
32,Brook Lopez,7,7,7
33,Tobias Harris,4,4,4
34,Eric Bledsoe,5,5,5
35,Brandon Knight,4,-1,4
36,Andrew Wiggins,1,1,1
37,Tony Wroten,3,3,3
38,Paul Millsap,9,9,9
39,Tyreke Evans,6,6,6
40,Al Jefferson,11,11,11
41,Kawhi Leonard,4,4,4
42,Isaiah Thomas,4,-1,4
43,JJ Redick,9,9,9
44,Kevin Love,7,7,7
45,Goran Dragic,-1,7,7
46,Darren Collison,6,6,6
47,Zach Randolph,14,14,14
48,George Hill,7,-1,7
49,Derrick Favors,5,5,5
50,Wesley Matthews,-1,6,6
51,Jeff Teague,6,-1,6
52,Greg Monroe,5,5,5
53,Mike Conley,8,-1,8
54,Jamal Crawford,-1,15,15
55,Dwight Howard,11,11,11
56,Chandler Parsons,4,4,4
57,Louis Williams,10,-1,10
58,Enes Kanter,4,4,4
59,Brandon Jennings,6,6,6
60,Markieff Morris,4,4,4
61,Bradley Beal,3,3,3
62,Ty Lawson,6,6,6
63,Al Horford,8,8,8
64,Jeff Green,8,-1,8
65,Andrea Bargnani,9,9,9
66,Jrue Holiday,6,6,6
67,Michael Carter-Williams,2,2,2
68,Reggie Jackson,4,-1,4
69,Joe Johnson,14,-1,14
70,Tony Parker,14,14,14
71,Serge Ibaka,7,7,7
72,Mo Williams,12,12,12
73,Thaddeus Young,8,8,8
74,Luol Deng,11,11,11
75,Wilson Chandler,8,8,8
76,Avery Bradley,5,5,5
77,Tim Duncan,18,18,18
78,Alec Burks,4,4,4
79,Andre Drummond,3,3,3
80,Ryan Anderson,-1,-1,7
81,Shabazz Muhammad,2,2,2
82,CJ Miles,-1,10,10
83,Eric Gordon,7,7,7
84,Robert Covington,-1,2,2
85,Nick Young,8,-1,8
86,Khris Middleton,3,3,3
87,Jared Sullinger,3,3,3
88,Arron Afflalo,8,8,8
89,Deron Williams,10,10,10
90,Trevor Ariza,11,11,11
91,Giannis Antetokounmpo,-1,2,2
92,Kentavious Caldwell-Pope,2,2,2
93,Trey Burke,2,2,2
94,Rodney Stuckey,-1,8,8
95,Kenneth Faried,-1,4,4
96,DeMarre Carroll,6,6,6
97,Nikola Pekovic,-1,7,7
98,Danilo Gallinari,7,7,7
99,Josh Smith,-1,11,11
100,Jabari Parker,1,1,1
101,Marcin Gortat,10,10,10
102,Kyle Korver,12,12,12
103,Ben McLemore,2,2,2
104,Gerald Henderson,6,37,37
105,J.R. Smith,11,11,11
106,Jonas Valanciunas,4,4,4
107,Donatas Motiejunas,4,4,4
108,Evan Fournier,-1,3,3
109,Jordan Hill,6,-1,6
110,Jarrett Jack,10,10,10
111,Jabari Brown,-1,1,1
112,Gerald Green,10,10,10
113,Jordan Clarkson,1,1,1
114,Paul Pierce,17,17,17
115,Carlos Boozer,-1,13,13
116,Dion Waiters,3,3,3
117,Hassan Whiteside,5,5,5
118,Terrence Jones,-1,3,3
119,Langston Galloway,-1,1,1
120,Danny Green,6,-1,6
121,Draymond Green,3,3,3
122,David West,-1,-1,12
123,Aaron Brooks,8,-1,8
124,DeAndre Jordan,7,7,7
125,Amar'e Stoudemire,13,13,13
126,Ersan Ilyasova,-1,10,10
127,Corey Brewer,-1,8,8
128,Tim Hardaway Jr.,2,2,2
129,O.J. Mayo,7,7,7
130,Jeremy Lin,-1,5,5
131,Jodie Meeks,-1,6,6
132,Nene,-1,-1,13
133,Vander Blue,-1,2,2
134,Michael Kidd-Gilchrist,-1,3,3
135,Anthony Morrow,7,7,7
136,Brandon Bass,-1,10,10
137,Roy Hibbert,7,7,7
138,Manu Ginobili,16,16,16
139,Marcus Morris,4,4,4
140,Marreese Speights,7,7,7
141,Taj Gibson,6,6,6
142,Alexey Shved,-1,5,5
143,Tyson Chandler,14,14,14
144,Ricky Rubio,6,6,6
145,Kelly Olynyk,2,2,2
146,Nikola Mirotic,-1,4,4
147,Tyler Zeller,-1,3,3
148,Patrick Beverley,-1,6,6
149,Mario Chalmers,7,7,7
150,Zach LaVine,1,1,1
151,Courtney Lee,7,7,7
152,Harrison Barnes,3,3,3
153,Gary Neal,-1,8,8
154,Matt Barnes,13,13,13
155,CJ Watson,-1,9,9
156,Wayne Ellington,6,6,6
157,Dennis Schroder,-1,2,2
158,Nerlens Noel,2,2,2
159,Wesley Johnson,5,-1,5
160,Luc Mbah a Moute,-1,7,7
161,Terrence Ross,3,3,3
162,Anderson Varejao,-1,11,11
163,Gorgui Dieng,-1,2,2
164,Timofey Mozgov,-1,7,7
165,Robin Lopez,7,7,7
166,Evan Turner,5,5,5
167,D.J. Augustin,7,7,7
168,Greivis Vasquez,-1,5,5
169,Mike Dunleavy,-1,-1,13
170,Luis Scola,-1,13,13
171,Nicolas Batum,-1,7,7
172,Amir Johnson,10,10,10
173,Isaiah Canaan,-1,2,2
174,Marco Belinelli,8,8,8
175,PJ Tucker,-1,9,9
176,Jason Richardson,14,14,14
177,Jose Calderon,-1,-1,12
178,Bojan Bogdanovic,-1,4,4
179,Rajon Rondo,9,9,9
180,Elfrid Payton,1,-1,1
181,Solomon Hill,-1,-1,2
182,Omri Casspi,6,6,6
183,Michael Beasley,-1,7,7
184,Paul George,5,5,5
185,Hollis Thompson,-1,3,3
186,Devin Harris,11,11,11
187,Boris Diaw,-1,12,12
188,Mason Plumlee,2,2,2
189,Randy Foye,9,9,9
190,Dwight Buycks,-1,4,4
191,Chris Kaman,12,12,12
192,Rodney Hood,-1,1,1
193,Tony Allen,-1,-1,11
194,Mirza Teletovic,-1,8,8
195,Tristan Thompson,4,4,4
196,Sebastian Telfair,11,11,11
197,Rudy Gobert,-1,2,2
198,Derrick Williams,4,-1,4
199,Jameer Nelson,11,11,11
200,Zaza Pachulia,-1,12,12
201,Ed Davis,5,-1,5
202,Tiago Splitter,-1,8,8
203,Lance Stephenson,5,5,5
204,Jason Smith,8,-1,8
205,Henry Sims,-1,3,3
206,Iman Shumpert,4,4,4
207,Patrick Patterson,-1,-1,5
208,Kris Humphries,-1,11,11
209,Marcus Thornton,6,-1,6
210,David Lee,10,-1,10
211,James Johnson,6,-1,6
212,KJ McDaniels,1,1,1
213,Andre Iguodala,11,11,11
214,Marcus Smart,1,1,1
215,Mike Scott,-1,-1,3
216,Jerryd Bayless,7,7,7
217,Rasual Butler,13,13,13
218,Steven Adams,2,2,2
219,Beno Udrih,-1,11,11
220,Jae Crowder,3,3,3
221,Norris Cole,-1,4,4
222,Cody Zeller,2,2,2
223,JJ Hickson,7,7,7
224,Jose Juan Barea,-1,9,9
225,Tayshaun Prince,13,13,13
226,Donald Sloan,-1,-1,5
227,Marvin Williams,10,10,10
228,Ray McCallum,2,-1,2
229,Alan Anderson,-1,-1,10
230,Omer Asik,-1,7,7
231,Channing Frye,10,10,10
232,Henry Walker,7,-1,7
233,Larry Sanders,5,-1,5
234,Brandan Wright,8,8,8
235,Joakim Noah,8,8,8
236,Lance Thomas,-1,5,5
237,Carl Landry,-1,8,8
238,Jared Dudley,-1,8,8
239,Quincy Pondexter,-1,5,5
240,Trevor Booker,5,5,5
241,Leandro Barbosa,-1,12,12
242,Jason Terry,-1,16,16
243,John Henson,-1,-1,3
244,Chris Johnson,-1,-1,3
245,Austin Rivers,-1,3,3
246,Patty Mills,6,6,6
247,Jusuf Nurkic,1,1,1
248,Kevin Garnett,20,20,20
249,CJ McCollum,2,2,2
250,Will Barton,3,3,3
251,Chase Budinger,6,6,6
252,Cory Joseph,-1,4,4
253,Brian Roberts,-1,-1,7
254,Adreian Payne,-1,1,1
255,Darrell Arthur,7,7,7
256,Aron Baynes,-1,6,6
257,Kevin Seraphin,5,5,5
258,Alexis Ajinca,-1,7,7
259,Ryan Kelly,-1,-1,2
260,Anthony Tolliver,-1,8,8
261,Jerami Grant,-1,1,1
262,Andrew Bogut,10,10,10
263,Charlie Villanueva,10,10,10
264,Mitch McGary,1,1,1
265,Jeremy Lamb,-1,3,3
266,Ramon Sessions,8,8,8
267,Danny Granger,-1,10,10
268,Alex Len,-1,2,2
269,Ben Gordon,-1,11,11
270,Shane Larkin,2,2,2
271,Chris Copeland,-1,9,9
272,Ish Smith,5,5,5
273,TJ Warren,1,1,1
274,Jason Thompson,7,-1,7
275,Tony Snell,2,-1,2
276,Tarik Black,-1,1,1
277,Otto Porter,2,2,2
278,Kyle Singler,4,4,4
279,Jonas Jerebko,6,6,6
280,Meyers Leonard,3,3,3
281,Shaun Livingston,11,11,11
282,Caron Butler,-1,13,13
283,Willie Green,12,12,12
284,Quincy Acy,-1,3,3
285,Richard Jefferson,14,14,14
286,Vince Carter,17,17,17
287,Spencer Hawes,8,8,8
288,Kyle O'Quinn,3,3,3
289,Kirk Hinrich,-1,12,12
290,Thomas Robinson,3,-1,3
291,Tyler Johnson,-1,-1,1
292,Chris Johnson,-1,-1,1
293,Nate Robinson,10,10,10
294,Pero Antic,-1,11,11
295,PJ Hairston,1,1,1
296,Archie Goodwin,-1,-1,2
297,John Jenkins,-1,-1,3
298,Cole Aldrich,5,5,5
299,Al-Farouq Aminu,5,5,5
300,Sean Kilpatrick,-1,1,1
301,Cleanthony Early,-1,1,1
302,Shelvin Mack,-1,4,4
303,Drew Gooden,13,13,13
304,Shawne Williams,9,9,9
305,Thabo Sefolosha,-1,9,9
306,Justin Hamilton,-1,-1,3
307,Bryce Cotton,-1,1,1
308,Ricky Ledo,2,2,2
309,Elijah Millsap,-1,5,5
310,Brandon Davies,-1,2,2
311,Anthony Bennett,2,-1,2
312,Chris Andersen,-1,16,16
313,Kent Bazemore,-1,3,3
314,JaKarr Sampson,-1,1,1
315,Tim Frazier,-1,1,1
316,Kosta Koufos,7,7,7
317,Aaron Gordon,1,1,1
318,Dante Cunningham,6,6,6
319,Ronnie Price,10,10,10
320,A.J. Price,-1,6,6
321,James Ennis,2,-1,2
322,Lavoy Allen,4,4,4
323,Joe Ingles,-1,6,6
324,Gigi Datome,-1,6,6
325,Mike Muscala,-1,2,2
326,Shabazz Napier,1,1,1
327,Andrew Nicholson,3,-1,3
328,Shawn Marion,-1,16,16
329,Lou Amundson,-1,9,9
330,Dante Exum,1,1,1
331,Matthew Dellavedova,-1,2,2
332,Damjan Rudez,-1,7,7
333,Bismack Biyombo,4,4,4
334,John Lucas III,-1,10,10
335,Jordan Farmar,9,9,9
336,Sergey Karasev,2,2,2
337,JaVale McGee,7,7,7
338,Markel Brown,-1,1,1
339,Robert Sacre,3,3,3
340,Jannero Pargo,-1,13,13
341,Dorell Wright,11,11,11
342,Jon Leuer,4,4,4
343,Arinze Onuaku,-1,5,5
344,Alonzo Gee,-1,6,6
345,Robbie Hummel,-1,3,3
346,James Jones,12,-1,12
347,Andre Miller,-1,16,16
348,Jeff Taylor,3,-1,3
349,Nik Stauskas,1,1,1
350,Festus Ezeli,3,3,3
351,Steve Blake,12,12,12
352,Justin Holiday,-1,4,4
353,Ian Mahinmi,10,10,10
354,Perry Jones,-1,3,3
355,Spencer Dinwiddie,1,1,1
356,Toney Douglas,6,6,6
357,Josh McRoberts,8,8,8
358,Kostas Papanikolaou,-1,3,3
359,Kendall Marshall,3,3,3
360,Lorenzo Brown,-1,2,2
361,Nick Calathes,-1,6,6
362,Nick Collison,12,12,12
363,James Michael McAdoo,-1,1,1
364,Pablo Prigioni,-1,16,16
365,Udonis Haslem,-1,13,13
366,Luke Babbitt,5,5,5
367,Miles Plumlee,-1,3,3
368,Samuel Dalembert,-1,14,14
369,Luke Ridnour,-1,12,12
370,Shannon Brown,9,9,9
371,Glen Davis,8,-1,8
372,Garrett Temple,-1,6,6
373,Travis Wear,-1,1,1
374,Joffrey Lauvergne,2,2,2
375,Larry Drew,35,35,35
376,Austin Daye,6,6,6
377,Hedo Turkoglu,-1,15,15
378,Troy Daniels,-1,2,2
379,Reggie Evans,-1,13,13
380,Raymond Felton,10,10,10
381,Matt Bonner,12,12,12
382,Tyler Ennis,1,-1,1
383,Cory Jefferson,-1,1,1
384,Dewayne Dedmon,-1,2,2
385,Tyler Hansbrough,6,6,6
386,Kendrick Perkins,-1,12,12
387,Lester Hudson,7,6,7
388,Jimmer Fredette,4,4,4
389,Phil Pressey,2,2,2
390,Jeff Adrien,-1,6,6
391,Joel Freeland,-1,9,9
392,Maurice Harkless,3,3,3
393,Gary Harris,-1,1,1
394,Erick Green,2,2,2
395,Andre Roberson,2,2,2
396,James Young,1,-1,1
397,Quincy Miller,-1,3,3
398,Jason Maxiell,-1,10,10
399,Noah Vonleh,-1,1,1
400,Martell Webster,10,10,10
401,Allen Crabbe,2,2,2
402,Francisco Garcia,10,-1,10
403,Jerome Jordan,-1,5,5
404,Will Bynum,10,10,10
405,Jordan Adams,1,1,1
406,Dwight Powell,-1,1,1
407,Ryan Hollins,-1,9,9
408,Doug McDermott,1,1,1
409,Jarnell Stokes,1,1,1
410,David Stockton,-1,1,1
411,Johnny O'Bryant,-1,1,1
412,Elliot Williams,5,5,5
413,Shayne Whittington,-1,1,1
414,JaMychal Green,-1,3,3
415,Bernard James,-1,3,3
416,Jordan Hamilton,-1,4,4
417,Earl Clark,6,6,6
418,Jeff Ayres,-1,6,6
419,Joey Dorsey,-1,7,7
420,Clint Capela,-1,1,1
421,Elton Brand,16,16,16
422,Joe Harris,1,-1,1
423,E'Twaun Moore,4,4,4
424,Jeff Withey,2,2,2
425,Malcolm Thomas,-1,-1,4
426,Jorge Gutierrez,-1,-1,3
427,Nick Johnson,1,-1,1
428,Russ Smith,-1,-1,1
429,Victor Claver,-1,6,6
430,Jeremy Evans,-1,5,5
431,Devyn Marble,-1,1,1
432,Furkan Aldemir,-1,3,3
433,Kyle Anderson,1,-1,1
434,Xavier Henry,5,5,5
435,Glen Rice Jr.,2,2,2
436,Darius Morris,4,4,4
437,Mike Miller,15,-1,15
438,Glenn Robinson,1,21,21
439,David Stockton,-1,1,1
440,Earl Barron,-1,12,12
441,John Salmons,-1,13,13
442,Julius Randle,1,1,1
443,Tyrus Thomas,9,9,9
444,Grant Jerrett,-1,2,2
445,Nate Wolters,2,2,2
446,CJ Wilcox,1,1,1
447,DeJuan Blair,6,6,6
448,Reggie Bullock,2,2,2
449,Greg Smith,-1,-1,4
450,Ian Clark,-1,-1,2
451,Drew Gordon,-1,3,3
452,Will Cherry,-1,2,2
453,Reggie Williams,-1,-1,7
454,Jared Cunningham,3,3,3
455,Kenyon Martin,15,15,15
456,Joel Anthony,-1,8,8
457,Steve Novak,-1,9,9
458,Landry Fields,-1,5,5
459,Zoran Dragic,-1,4,4
460,Charles Hayes,-1,-1,10
461,Jack Cooley,-1,2,2
462,Miroslav Raduljica,-1,5,5
463,Brendan Haywood,-1,14,14
464,Chris Douglas-Roberts,-1,7,7
465,Cartier Martin,-1,8,8
466,Jerel McNeal,-1,6,6
467,Patrick Christopher,-1,5,5
468,Gal Mekel,-1,7,7
469,Bruno Caboclo,-1,1,1
470,Ognjen Kuzmic,3,3,3
471,Toure Murry,-1,3,3
472,Shavlik Randolph,10,10,10
473,Gerald Wallace,-1,14,14
474,Nazr Mohammed,-1,17,17
475,Jamaal Franklin,2,2,2
476,Lucas Nogueira,2,2,2
477,Quincy Miller,-1,3,3
478,Brandon Rush,7,7,7
479,Ekpe Udoh,5,5,5
480,Greg Stiemsma,7,7,7
481,Alex Kirk,-1,1,1
482,Andre Dawkins,-1,1,1
483,Eric Moreland,-1,1,1
484,Sim Bhullar,-1,1,1
485,Dahntay Jones,-1,12,12
486,Cameron Bairstow,1,1,1
487,Andrei Kirilenko,-1,16,16
488,Darius Miller,-1,3,3
489,Seth Curry,-1,2,2
490,David Wear,1,1,1
491,Malcolm Lee,4,-1,4
492,Kalin Lucas,-1,4,4
493,Ronny Turiaf,10,10,10
494,JaMychal Green,-1,3,3
495,Jerrelle Benimon,-1,1,1